,Operación,Provincia,Precio Venta
509,Alquiler,Barcelona,1175860
510,Venta,Lleida,258560
511,Alquiler,Tarragona,1782940
512,Alquiler,Barcelona,1841622
513,Venta,Tarragona,741228
514,Alquiler,Barcelona,262777
515,Alquiler,Barcelona,720902
516,Venta,Girona,1313526
517,Venta,Girona,638064
518,Alquiler,Barcelona,682773
519,Alquiler,Lleida,279342
520,Venta,Barcelona,740355
521,Venta,Lleida,1293400
522,Alquiler,Girona,1429380
523,Alquiler,Barcelona,1536576
524,Venta,Lleida,1249360
525,Venta,Girona,1594404
526,Alquiler,Barcelona,935781
527,Alquiler,Lleida,2273040
528,Alquiler,Lleida,1414602
529,Venta,Lleida,446856
530,Alquiler,Barcelona,712768
531,Alquiler,Lleida,999726
532,Venta,Tarragona,606024
533,Venta,Girona,410316
534,Alquiler,Lleida,1730680
535,Venta,Girona,1292123
536,Alquiler,Girona,1031121
537,Alquiler,Girona,2161134
538,Alquiler,Barcelona,761793
539,Alquiler,Tarragona,565587
540,Alquiler,Girona,251596
541,Venta,Barcelona,1514968
542,Venta,Tarragona,564186
543,Venta,Tarragona,694331
544,Venta,Lleida,419348
545,Venta,Lleida,628095
546,Alquiler,Girona,1000000
547,Venta,Barcelona,2330042
548,Venta,Girona,1403988
549,Alquiler,Lleida,1711325
550,Alquiler,Girona,2215002
551,Venta,Barcelona,804625
552,Venta,Barcelona,1568754
553,Venta,Barcelona,867009
554,Venta,Girona,1289748
555,Venta,Lleida,567492
556,Alquiler,Girona,1916442
557,Alquiler,Girona,1875012
558,Alquiler,Tarragona,1590104
559,Alquiler,Tarragona,1412175
560,Alquiler,Lleida,280741
561,Alquiler,Girona,960526
562,Venta,Barcelona,1272216
563,Alquiler,Lleida,513968
564,Venta,Barcelona,917868
565,Alquiler,Girona,1881950
566,Venta,Barcelona,469910
567,Venta,Lleida,639999
568,Alquiler,Tarragona,700398
569,Alquiler,Lleida,659808
570,Alquiler,Tarragona,322036
571,Alquiler,Tarragona,1897155
572,Venta,Tarragona,1038825
573,Alquiler,Lleida,251430
574,Alquiler,Barcelona,1877400
575,Venta,Barcelona,435348
576,Venta,Barcelona,889658
577,Venta,Girona,1571973
578,Venta,Girona,811780
579,Venta,Tarragona,1634884
580,Venta,Tarragona,1742020
581,Venta,Lleida,2584480
582,Venta,Tarragona,1767744
583,Alquiler,Girona,1077601
584,Alquiler,Girona,1050203
585,Alquiler,Lleida,613921
586,Alquiler,Barcelona,1286344
587,Alquiler,Tarragona,469168
588,Venta,Tarragona,1372686
589,Venta,Tarragona,627570
590,Alquiler,Girona,435712
591,Alquiler,Girona,999630
592,Venta,Tarragona,1234974
593,Alquiler,Tarragona,1148436
594,Venta,Barcelona,1343798
595,Venta,Lleida,358360
596,Venta,Lleida,323760
597,Venta,Lleida,735456
598,Alquiler,Lleida,738568
599,Alquiler,Barcelona,1275646
600,Alquiler,Girona,919632
601,Venta,Girona,1218763
602,Alquiler,Barcelona,1408182
603,Alquiler,Lleida,704323
604,Alquiler,Lleida,1817264
605,Alquiler,Lleida,360765
606,Venta,Barcelona,418019
607,Venta,Lleida,1117620
608,Venta,Lleida,1790880
609,Venta,Barcelona,1058545
610,Venta,Barcelona,2658936
611,Alquiler,Girona,879244
612,Venta,Barcelona,1879200
613,Alquiler,Barcelona,1085705
614,Venta,Lleida,1992320
615,Alquiler,Barcelona,1237929
616,Venta,Lleida,1283980
617,Alquiler,Lleida,391560
618,Alquiler,Barcelona,705963
619,Alquiler,Barcelona,406290
620,Venta,Tarragona,2171128
621,Venta,Barcelona,1116348
622,Venta,Tarragona,577656
623,Venta,Tarragona,1122352
624,Alquiler,Girona,2171826
625,Alquiler,Tarragona,2061131
626,Alquiler,Lleida,494758
627,Alquiler,Tarragona,1360828
628,Venta,Girona,1427019
629,Alquiler,Girona,1567060
630,Alquiler,Barcelona,1972816
631,Venta,Girona,1816437
632,Alquiler,Girona,1191044
633,Alquiler,Tarragona,2576432
634,Alquiler,Girona,981651
635,Alquiler,Tarragona,1161477
636,Alquiler,Barcelona,938030
637,Venta,Tarragona,915704
638,Alquiler,Girona,2646181
639,Alquiler,Tarragona,1243060
640,Venta,Girona,2306238
641,Venta,Girona,711382
642,Alquiler,Lleida,2338095
643,Alquiler,Tarragona,1162104
644,Venta,Tarragona,1917696
645,Alquiler,Lleida,1192800
646,Venta,Barcelona,346256
647,Venta,Girona,1153173
648,Alquiler,Lleida,386354
649,Venta,Lleida,777360
650,Venta,Girona,1015956
651,Alquiler,Girona,1080548
652,Venta,Tarragona,730149
653,Alquiler,Girona,1953873
654,Venta,Girona,2787016
655,Venta,Tarragona,1773072
656,Venta,Lleida,1589832
657,Venta,Tarragona,1442870
658,Alquiler,Barcelona,500400
659,Venta,Tarragona,1003552
660,Venta,Girona,1730550
661,Alquiler,Girona,1963166
662,Alquiler,Barcelona,463843
663,Alquiler,Girona,2057832
664,Alquiler,Girona,1520627
665,Venta,Lleida,1457980
666,Venta,Barcelona,651920
667,Venta,Barcelona,1513005
668,Venta,Tarragona,1747830
669,Venta,Barcelona,2188597
670,Alquiler,Barcelona,1277930
671,Alquiler,Tarragona,1225926
672,Venta,Barcelona,479318
673,Venta,Girona,1392168
674,Alquiler,Barcelona,329716
675,Venta,Girona,311563
676,Alquiler,Tarragona,227178
677,Venta,Barcelona,1239300
678,Venta,Tarragona,1074969
679,Alquiler,Tarragona,1029864
680,Alquiler,Tarragona,1166104
681,Venta,Lleida,1577692
682,Alquiler,Lleida,1049433
683,Venta,Tarragona,2285244
684,Venta,Girona,662316
685,Alquiler,Tarragona,330771
686,Alquiler,Lleida,1214880
687,Venta,Lleida,688838
688,Venta,Girona,622144
689,Alquiler,Tarragona,723492
690,Alquiler,Girona,827062
691,Venta,Lleida,1022883
692,Venta,Barcelona,1722407
693,Alquiler,Lleida,392832
694,Venta,Lleida,1524585
695,Alquiler,Tarragona,1379328
696,Alquiler,Barcelona,1570016
697,Alquiler,Girona,789140
698,Alquiler,Girona,542974
699,Alquiler,Girona,1251315
700,Venta,Girona,2023200
701,Alquiler,Girona,2553225
702,Venta,Tarragona,1341120
703,Alquiler,Barcelona,2540364
704,Alquiler,Tarragona,1165842
705,Alquiler,Girona,1501560
706,Venta,Girona,1713120
707,Venta,Tarragona,1124012
708,Alquiler,Tarragona,1181670
709,Venta,Lleida,1291636
710,Venta,Tarragona,2114035
711,Alquiler,Lleida,2280668
712,Venta,Barcelona,688463
713,Alquiler,Lleida,2135210
714,Alquiler,Lleida,329681
715,Alquiler,Barcelona,1793848
716,Alquiler,Tarragona,457498
717,Alquiler,Girona,736092
718,Venta,Tarragona,1565839
719,Venta,Tarragona,2216608
720,Venta,Tarragona,266596
721,Alquiler,Girona,611546
722,Alquiler,Girona,518508
723,Alquiler,Barcelona,2085373
724,Alquiler,Barcelona,901980
725,Venta,Girona,1081360
726,Alquiler,Girona,1168440
727,Venta,Barcelona,585746
728,Alquiler,Lleida,1905187
729,Alquiler,Tarragona,1830664
730,Venta,Girona,555246
731,Venta,Tarragona,652743
732,Alquiler,Girona,1225244
733,Venta,Lleida,644470
734,Alquiler,Barcelona,588023
735,Venta,Barcelona,840560
736,Alquiler,Lleida,780980
737,Alquiler,Lleida,1201578
738,Venta,Barcelona,1527750
739,Alquiler,Barcelona,2328418
740,Venta,Tarragona,1184274
741,Venta,Barcelona,1330236
742,Venta,Lleida,542864
743,Venta,Barcelona,538065
744,Venta,Lleida,445295
745,Alquiler,Tarragona,761056
746,Alquiler,Barcelona,1355470
747,Alquiler,Girona,2145480
748,Venta,Lleida,679554
749,Alquiler,Girona,1335936
750,Venta,Girona,556116
751,Venta,Barcelona,1509872
752,Venta,Lleida,399655
753,Alquiler,Tarragona,1206557
754,Venta,Tarragona,2202655
755,Alquiler,Tarragona,308850
756,Venta,Barcelona,306726
757,Venta,Barcelona,1535168
758,Alquiler,Tarragona,823680
759,Alquiler,Barcelona,1695330
760,Venta,Girona,411700
761,Venta,Barcelona,371712
762,Alquiler,Girona,2411808
763,Alquiler,Girona,1122240
764,Alquiler,Girona,2354481
765,Alquiler,Girona,1044480
766,Alquiler,Barcelona,510150
767,Venta,Girona,1213212
768,Venta,Barcelona,1162131
769,Venta,Lleida,1343840
770,Venta,Girona,223564
771,Venta,Barcelona,1363948
772,Venta,Lleida,484744
773,Alquiler,Tarragona,2332152
774,Venta,Lleida,1606500
775,Venta,Lleida,411160
776,Alquiler,Tarragona,611796
777,Alquiler,Barcelona,1554732
778,Alquiler,Tarragona,1877760
779,Venta,Tarragona,1607280
780,Alquiler,Lleida,1217390
781,Venta,Girona,299996
782,Alquiler,Girona,1455693
783,Alquiler,Tarragona,778706
784,Alquiler,Barcelona,1685148
785,Venta,Lleida,913248
786,Venta,Barcelona,2064879
787,Venta,Girona,853852
788,Venta,Barcelona,1781849
789,Venta,Tarragona,647460
790,Venta,Girona,869196
791,Venta,Tarragona,1565120
792,Venta,Lleida,507320
793,Venta,Tarragona,1522946
794,Alquiler,Tarragona,338476
795,Alquiler,Lleida,950290
796,Venta,Barcelona,1442280
797,Venta,Girona,1478742
798,Alquiler,Tarragona,2209822
799,Alquiler,Tarragona,653250
800,Alquiler,Tarragona,1323198
801,Venta,Lleida,1106028
802,Alquiler,Tarragona,1115409
803,Venta,Girona,580032
804,Alquiler,Barcelona,1469178
805,Venta,Girona,415552
806,Alquiler,Tarragona,1891736
807,Alquiler,Girona,630224
808,Venta,Tarragona,1292484
809,Venta,Barcelona,334305
810,Venta,Lleida,1805518
811,Venta,Tarragona,2208252
812,Venta,Girona,733470
813,Alquiler,Barcelona,1627200
814,Venta,Tarragona,1690416
815,Alquiler,Barcelona,2180104
816,Alquiler,Barcelona,878638
817,Alquiler,Tarragona,244608
818,Venta,Barcelona,562632
819,Alquiler,Tarragona,1688170
820,Venta,Girona,1392006
821,Venta,Tarragona,1628333
822,Venta,Lleida,992793
823,Alquiler,Girona,484560
824,Venta,Tarragona,866880
825,Alquiler,Girona,1709567
826,Venta,Tarragona,1391809
827,Alquiler,Barcelona,1278774
828,Venta,Lleida,1218888
829,Venta,Lleida,1409551
830,Venta,Girona,880900
831,Alquiler,Tarragona,574200
832,Alquiler,Lleida,1968632
833,Venta,Barcelona,592103
834,Venta,Lleida,1276800
835,Venta,Tarragona,2124596
836,Venta,Girona,1021334
837,Alquiler,Girona,583110
838,Venta,Lleida,1029178
839,Alquiler,Girona,1040478
840,Venta,Girona,1061160
841,Venta,Barcelona,942196
842,Venta,Barcelona,1712725
843,Alquiler,Tarragona,593021
844,Venta,Tarragona,1485680
845,Alquiler,Tarragona,2214984
846,Alquiler,Girona,731929
847,Alquiler,Tarragona,1566129
848,Venta,Tarragona,1003320
849,Alquiler,Girona,1391091
850,Alquiler,Girona,1032118
851,Alquiler,Girona,1768020
852,Venta,Tarragona,1708716
853,Alquiler,Lleida,2430272
854,Venta,Girona,1650200
855,Venta,Barcelona,995657
856,Venta,Girona,2379048
857,Alquiler,Lleida,1821758
858,Venta,Barcelona,397540
859,Venta,Lleida,2242656
860,Alquiler,Girona,891456
861,Alquiler,Barcelona,631560
862,Alquiler,Barcelona,2328636
863,Venta,Girona,553608
864,Alquiler,Girona,523160
865,Venta,Girona,1054544
866,Venta,Tarragona,418692
867,Venta,Tarragona,912114
868,Alquiler,Lleida,1082079
869,Venta,Tarragona,1951180
870,Alquiler,Tarragona,726352
871,Alquiler,Girona,1390460
872,Alquiler,Lleida,2923155
873,Venta,Tarragona,458560
874,Alquiler,Girona,1259202
875,Venta,Tarragona,968658
876,Alquiler,Lleida,549120
877,Alquiler,Barcelona,1372135
878,Venta,Lleida,1070307
879,Alquiler,Lleida,1542784
880,Alquiler,Lleida,645569
881,Venta,Tarragona,970420
882,Venta,Girona,1370964
