,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
59,60,2004-01-24,Oficina,Alquiler,Lleida,270,1920240,2004-06-28,Jesús
60,61,2004-01-24,Casa,Venta,Tarragona,120,1140840,2004-09-12,Carmen
61,62,2004-01-24,Industrial,Venta,Tarragona,178,1142938,2005-01-23,Joaquín
62,63,2004-01-25,Piso,Venta,Barcelona,144,738144,2004-09-06,Luisa
63,64,2004-01-26,Industrial,Venta,Lleida,57,509010,2004-10-13,María
64,65,2004-01-26,Oficina,Venta,Tarragona,144,1436832,2004-05-26,Luisa
65,66,2004-01-27,Suelo,Venta,Lleida,272,2119424,2004-12-24,Pedro
66,67,2004-01-27,Industrial,Alquiler,Barcelona,219,948927,2004-10-15,Jesús
67,68,2004-01-27,Local,Alquiler,Barcelona,68,376992,2004-06-28,Luisa
68,69,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09,María
69,70,2004-01-28,Casa,Alquiler,Tarragona,179,1647695,2004-07-12,María
70,71,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01,Carmen
71,72,2004-01-28,Suelo,Venta,Tarragona,216,1478952,2004-10-15,Carmen
72,73,2004-01-28,Parking,Alquiler,Barcelona,62,320044,2004-09-04,Joaquín
73,74,2004-01-29,Industrial,Venta,Girona,229,1098055,2004-10-22,Joaquín
74,75,2004-01-29,Suelo,Venta,Tarragona,41,187862,2004-08-14,Jesús
75,76,2004-01-29,Suelo,Alquiler,Tarragona,234,1757106,2004-12-28,Pedro
76,77,2004-01-30,Industrial,Alquiler,Tarragona,112,1104992,2004-06-25,Pedro
77,78,2004-01-31,Piso,Venta,Lleida,87,448485,2004-10-04,María
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
79,80,2004-01-31,Parking,Alquiler,Barcelona,217,1339107,2004-10-05,Carmen
80,81,2004-02-01,Industrial,Alquiler,Barcelona,236,1812244,2004-11-17,Pedro
81,82,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14,Pedro
82,83,2004-02-02,Suelo,Venta,Lleida,56,471072,2004-05-29,María
83,84,2004-02-02,Piso,Venta,Barcelona,94,470940,2004-07-28,Carmen
84,85,2004-02-02,Local,Alquiler,Barcelona,127,925322,2004-06-03,Joaquín
85,86,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08,Jesús
86,87,2004-02-03,Industrial,Alquiler,Barcelona,93,778875,2004-05-12,Luisa
87,88,2004-02-03,Parking,Alquiler,Tarragona,58,421196,2004-10-10,Pedro
88,89,2004-02-04,Local,Alquiler,Barcelona,49,219716,2004-09-27,Jesús
89,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
90,91,2004-02-04,Industrial,Alquiler,Barcelona,123,723609,2004-12-16,Joaquín
91,92,2004-02-05,Piso,Alquiler,Barcelona,48,388032,2004-05-06,Jesús
92,93,2004-02-05,Industrial,Alquiler,Tarragona,132,922020,2004-10-23,Joaquín
93,94,2004-02-06,Industrial,Alquiler,Barcelona,177,965358,2004-06-08,Luisa
94,95,2004-02-06,Local,Venta,Barcelona,68,663816,2004-05-23,Joaquín
95,96,2004-02-07,Industrial,Alquiler,Tarragona,103,728931,2005-02-05,Jesús
96,97,2004-02-07,Suelo,Venta,Tarragona,96,625536,2004-11-07,Jesús
97,98,2004-02-07,Casa,Venta,Lleida,227,1467782,2005-02-01,Carmen
98,99,2004-02-07,Industrial,Alquiler,Girona,251,2067236,2004-12-22,María
99,100,2004-02-08,Local,Alquiler,Tarragona,125,531375,2004-06-23,Jesús
100,101,2004-02-08,Suelo,Alquiler,Girona,162,710694,2004-09-27,María
